RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
135,10256330,Customer,414,Spain,Male,25,2,71454.21,2,1,0,29559.13,0
136,11473362,Customer,552,France,Male,53,8,120662.87,2,0,1,82226.2,0
137,19536459,Customer,510,Germany,Male,46,5,176724.91,2,0,1,175094.68,0
138,13741447,Customer,763,Germany,Female,30,9,248259.36,1,1,1,62871.87,1
139,19348154,Customer,482,France,Female,42,5,40732.86,2,1,1,93921.29,0
140,17690868,Customer,527,Spain,Female,39,9,85533.89,2,0,0,126696.57,0
141,16370738,Customer,542,Spain,Male,63,5,90859.99,2,1,0,131437.77,1
142,17327827,Customer,615,France,Male,50,1,181455.99,4,1,1,122877.65,1
143,11891905,Customer,409,France,Female,54,10,221649.45,2,0,1,21523.2,1
144,18457029,Customer,554,France,Male,70,9,45948.78,2,0,0,157898.37,0
145,10352488,Customer,504,France,Female,24,9,178412.59,2,1,1,161041.67,0
146,13058138,Customer,421,France,Female,40,7,227405.5,2,0,0,29819.37,1
147,12910511,Customer,505,Germany,Female,23,5,30323.92,2,1,1,150534.31,0
148,14696977,Customer,522,Germany,Male,32,2,158765.0,2,0,0,105740.39,1
149,11532360,Customer,657,France,Female,32,9,50596.02,1,0,0,12393.14,0
150,10271810,Customer,799,France,Male,57,8,110285.23,1,0,1,141895.09,0
151,15283685,Customer,411,Spain,Female,51,1,0.0,2,1,0,97554.0,1
152,11203083,Customer,722,France,Male,31,6,170904.8,2,0,1,34065.98,0
153,11861615,Customer,809,France,Male,46,2,100343.84,1,1,1,43410.47,0
154,12969426,Customer,824,France,Male,33,5,0.0,2,1,1,153976.45,0
155,10936224,Customer,730,Spain,Female,46,4,130885.58,1,1,0,189604.22,0
156,18329855,Customer,554,France,Male,40,5,0.0,1,0,0,41157.63,0
157,11544840,Customer,409,Germany,Male,27,7,223894.58,2,1,0,86450.1,1
158,19291145,Customer,435,Spain,Male,64,2,69937.33,2,0,0,70739.5,0
159,11603252,Customer,773,France,Female,72,1,148791.7,3,0,1,121487.69,1
160,17520435,Customer,492,Germany,Female,21,7,0.0,2,1,1,47098.42,0
161,10570195,Customer,700,France,Female,29,0,78786.33,2,1,1,120014.71,0
162,19018549,Customer,356,Germany,Female,59,1,124896.54,1,0,0,167926.06,1
163,18248478,Customer,644,Germany,Male,51,9,10113.29,1,1,1,131812.38,0
164,12900944,Customer,846,Germany,Male,21,0,106733.27,2,1,1,46912.37,0
165,18053490,Customer,528,France,Female,37,4,67631.72,2,0,0,152308.73,0
166,19578672,Customer,576,Spain,Male,45,7,215993.91,2,1,0,97437.55,0
167,13197130,Customer,356,France,Male,45,1,0.0,1,0,0,31456.25,0
168,17574426,Customer,489,France,Male,23,3,0.0,2,0,0,72155.15,0
169,15753356,Customer,363,France,Male,31,3,132417.81,1,0,1,55876.78,1
170,11553325,Customer,383,Germany,Male,72,10,202741.11,1,0,0,170253.78,1
171,19268786,Customer,727,Germany,Male,52,10,0.0,4,0,1,53119.06,0
172,19364327,Customer,772,France,Male,64,6,0.0,2,0,0,107262.05,0
173,13414902,Customer,589,Germany,Male,18,0,81532.39,1,0,0,133938.77,0
174,19614691,Customer,678,France,Male,36,8,0.0,1,0,0,20700.29,0
175,19600846,Customer,669,Germany,Male,74,2,28812.79,2,0,1,36777.64,1
176,10790546,Customer,446,France,Male,18,5,15550.14,1,0,0,159549.71,1
177,18745558,Customer,617,Germany,Female,30,9,184393.98,2,1,1,75339.34,0
178,11400018,Customer,475,France,Male,25,4,92099.55,1,1,1,143383.25,0
179,10730050,Customer,383,Spain,Female,35,3,98248.82,2,1,1,154260.89,0
180,13130002,Customer,632,France,Female,71,8,143538.16,3,0,0,132109.59,1
181,17328780,Customer,755,France,Female,52,10,246717.54,2,0,1,120525.96,0
182,11448544,Customer,367,France,Male,40,8,42877.45,3,1,0,104051.97,1
183,15553701,Customer,779,Spain,Male,67,0,74963.52,1,0,1,84661.78,0
184,14159020,Customer,777,Spain,Male,69,6,0.0,1,0,1,38398.87,0
185,16926008,Customer,751,France,Female,43,9,175240.83,1,1,1,194845.05,0
186,16709185,Customer,642,Germany,Male,58,8,176536.31,2,0,0,131964.43,1
187,10975954,Customer,740,Spain,Female,55,4,0.0,2,1,0,46908.86,0
188,18917542,Customer,417,Germany,Female,37,0,147070.97,2,1,0,168932.21,1
189,18400795,Customer,586,Germany,Male,19,7,0.0,1,1,0,166263.31,0
190,13656792,Customer,429,France,Male,43,4,208656.34,2,0,1,153066.31,0
191,19411934,Customer,435,France,Female,74,5,0.0,2,0,0,31980.54,1
192,16370987,Customer,409,Spain,Male,53,6,104394.32,2,1,0,13402.12,0
193,11941373,Customer,397,Spain,Male,42,9,53852.31,2,1,1,144562.71,0
194,11940236,Customer,528,Germany,Female,47,6,26084.98,1,0,0,48855.64,0
195,16707422,Customer,705,France,Male,35,6,79872.7,1,1,1,169740.84,0
196,16737308,Customer,433,France,Female,24,0,164296.82,2,1,0,137818.12,0
197,10141443,Customer,444,Germany,Female,44,6,124270.73,2,0,0,81137.23,1
198,12793808,Customer,657,Spain,Female,28,10,0.0,1,0,1,102626.83,0
199,14516242,Customer,601,Spain,Male,54,2,149921.36,1,1,0,105520.3,1
200,11561970,Customer,830,Spain,Male,25,4,63283.51,2,0,1,81995.44,0
201,19781167,Customer,682,Germany,Male,28,9,128805.24,1,0,1,44080.69,0
202,15555394,Customer,529,France,Male,41,4,56846.45,1,1,0,198925.46,1
203,12828753,Customer,433,France,Male,47,7,0.0,1,1,1,152351.51,0
204,10824633,Customer,659,Spain,Male,47,6,0.0,1,0,1,39718.94,0
205,14681438,Customer,774,Germany,Male,69,6,117008.21,2,0,1,16568.03,1
206,18902249,Customer,775,France,Male,69,5,162802.02,1,0,0,75422.83,1
207,10643643,Customer,835,France,Female,32,6,218358.07,2,0,0,115345.17,1
208,13992770,Customer,499,Germany,Male,73,6,80544.41,3,0,0,188208.58,1
209,14780944,Customer,388,France,Male,52,4,197256.31,1,0,0,35155.72,1
210,18904895,Customer,628,France,Female,56,4,0.0,1,0,1,93642.89,1
211,11055008,Customer,653,Germany,Female,41,3,0.0,2,1,1,43938.1,0
212,19649767,Customer,462,Germany,Male,25,3,0.0,2,1,1,23249.26,0
213,11400469,Customer,725,Germany,Male,60,4,240710.06,1,0,0,124253.81,0
214,16919008,Customer,766,France,Female,59,9,68695.32,2,1,0,29722.25,0
215,19021149,Customer,476,Germany,Female,37,8,194203.69,1,0,0,146836.05,1
216,14914953,Customer,390,France,Female,58,10,0.0,2,0,0,115167.4,1
217,18430221,Customer,507,France,Female,64,5,231056.76,2,0,0,54179.0,1
218,14060230,Customer,555,Germany,Male,43,7,106961.32,1,1,1,160953.61,0
219,13819678,Customer,396,Germany,Male,69,8,167163.36,3,1,1,142926.29,1
220,11508911,Customer,833,Spain,Male,41,3,212547.96,1,1,0,128994.47,0
221,11105982,Customer,534,Germany,Female,39,6,70596.63,2,0,1,50632.3,0
222,13781247,Customer,421,Germany,Female,22,4,97249.0,1,0,1,144239.63,0
223,14764419,Customer,406,France,Female,32,3,0.0,1,1,1,112718.89,0
224,14706765,Customer,588,France,Male,53,6,70717.63,1,0,0,111516.45,1
225,17794894,Customer,411,France,Male,54,2,0.0,1,0,1,32709.72,1
226,16933538,Customer,691,France,Female,46,0,0.0,2,0,0,35675.6,1
227,13594593,Customer,406,Spain,Female,32,6,19205.69,2,0,1,16137.12,0
228,16677645,Customer,801,France,Female,44,8,168323.22,3,1,0,56642.51,1
229,11722956,Customer,592,Spain,Male,66,1,0.0,2,1,0,103747.09,1
230,12371961,Customer,832,Germany,Male,72,6,222382.34,1,1,0,78207.85,0
231,10705972,Customer,677,Spain,Male,25,9,221380.6,1,0,0,145450.19,0
232,16176463,Customer,831,Germany,Male,74,1,180023.2,1,1,0,87426.34,1
233,19170018,Customer,473,Germany,Female,46,2,213445.8,2,1,0,27716.01,1
234,19084001,Customer,819,France,Male,36,9,0.0,1,1,0,147676.82,0
235,14548093,Customer,502,France,Female,48,9,144332.22,1,1,0,44988.97,0
236,12970068,Customer,604,Germany,Female,26,2,0.0,2,0,1,69854.68,0
237,10486363,Customer,566,France,Female,27,3,238849.72,2,0,0,105117.55,0
238,14175962,Customer,773,France,Male,54,5,0.0,1,1,1,115291.15,0
239,15117712,Customer,581,Germany,Female,27,2,0.0,1,1,0,66043.49,0
240,15618795,Customer,366,France,Male,71,8,0.0,2,0,0,97535.3,1
241,16258749,Customer,429,Spain,Female,50,1,0.0,2,1,0,22673.7,1
242,15991501,Customer,845,Spain,Male,42,6,0.0,1,1,1,40414.98,0
243,15385501,Customer,525,Spain,Male,74,5,221169.49,2,1,1,123817.55,1
244,14136696,Customer,388,France,Male,71,1,162502.38,1,1,0,10869.98,1
245,12006061,Customer,492,France,Male,73,10,113498.19,2,0,1,44951.85,1
246,15933181,Customer,366,Spain,Female,21,2,38984.25,2,1,1,129386.05,0
247,17809424,Customer,598,France,Male,70,5,0.0,2,0,1,54128.45,0
248,12981047,Customer,384,Spain,Female,22,9,121416.82,2,0,1,165406.23,0
249,15123032,Customer,638,Spain,Female,40,3,208136.93,1,0,0,84579.76,0
250,18809029,Customer,837,Spain,Male,56,0,0.0,1,0,1,145692.07,0
251,13700326,Customer,836,France,Female,72,0,220200.44,2,0,1,178163.36,0
252,15872995,Customer,495,France,Male,22,2,202747.55,1,0,1,95160.37,0
253,14268977,Customer,763,Spain,Male,69,7,51366.64,1,0,1,138254.05,0
254,12999362,Customer,564,France,Male,25,10,0.0,1,1,0,170245.93,0
255,13191544,Customer,514,France,Female,34,3,114503.33,1,1,0,56803.28,0
256,10848202,Customer,460,Germany,Male,18,10,47788.93,2,0,0,178192.11,0
257,18732302,Customer,484,Spain,Female,71,0,0.0,2,1,0,173457.91,1
258,11929508,Customer,423,Germany,Male,67,7,66944.73,2,0,1,21482.16,1
259,15222495,Customer,813,Germany,Female,29,9,5641.8,3,0,1,99499.38,1
260,13404190,Customer,505,France,Male,52,5,142835.67,2,0,1,31118.75,1
261,14907446,Customer,564,Germany,Female,69,0,0.0,2,1,1,178369.36,0
262,17318912,Customer,703,Spain,Female,31,9,0.0,2,1,0,55530.67,1
263,19081141,Customer,623,France,Female,65,9,0.0,2,1,0,80485.64,0
264,12600788,Customer,780,Germany,Female,35,5,0.0,1,0,1,188214.81,0
265,16379681,Customer,628,Spain,Female,27,0,150489.6,3,0,0,116793.45,1
266,15068006,Customer,848,Germany,Male,72,9,243319.33,1,1,0,186143.7,0
267,16257991,Customer,497,Germany,Male,32,9,63455.97,2,0,0,97701.53,1
268,18495514,Customer,380,Germany,Male,59,2,6583.73,2,0,1,196727.9,0
269,14796714,Customer,363,France,Male,50,1,184003.78,2,0,1,191499.42,0
270,11954902,Customer,372,France,Male,36,3,58792.39,2,0,0,13822.54,0
271,19477500,Customer,351,Spain,Male,51,1,121065.92,2,1,0,87170.94,0
272,13457534,Customer,762,Spain,Male,62,10,202056.3,2,0,1,190491.05,0
273,16486733,Customer,527,Spain,Female,42,4,9244.21,2,0,0,164708.57,1
274,14891160,Customer,678,Spain,Male,33,3,35379.81,1,1,0,50279.48,1
275,18399362,Customer,408,Germany,Female,25,5,24544.01,2,1,0,178134.0,0
276,18790723,Customer,638,Germany,Male,52,6,58431.59,2,0,1,48300.77,0
277,14316362,Customer,525,Spain,Female,38,1,43257.97,2,1,0,187875.09,0
278,11961301,Customer,521,Germany,Female,36,1,79150.46,1,1,0,25778.75,1
279,18624702,Customer,745,Germany,Male,63,7,0.0,1,1,1,189803.09,1
280,14402071,Customer,432,Spain,Male,28,8,10585.94,2,1,1,25643.08,0
281,13505741,Customer,775,Spain,Male,61,4,0.0,1,1,0,53295.38,1
282,18033650,Customer,817,France,Male,28,6,141080.96,1,0,1,117571.45,0
283,18675169,Customer,834,France,Female,28,8,130064.94,1,1,1,45726.32,0
284,11247340,Customer,572,France,Female,39,0,118518.77,1,1,0,83956.27,1
285,13423742,Customer,384,Germany,Male,38,7,0.0,1,1,0,42096.68,0
286,18163828,Customer,646,France,Male,44,9,0.0,2,0,0,115978.29,1
287,11654919,Customer,818,France,Male,35,9,144028.51,1,1,1,126076.24,1
288,10394290,Customer,788,Germany,Male,59,8,114243.29,2,0,1,51886.44,0
289,13035499,Customer,844,France,Female,65,8,20437.75,2,1,0,65397.14,0
290,11548458,Customer,459,Germany,Male,57,9,243692.78,2,1,1,150241.8,0
291,10715960,Customer,584,France,Male,55,6,59833.41,2,0,1,26452.49,1
292,14412715,Customer,746,France,Male,47,9,217289.48,1,0,0,96051.57,1
293,12720432,Customer,388,Spain,Male,68,2,0.0,1,0,1,65114.68,0
294,10492838,Customer,568,France,Female,62,4,170984.12,2,1,1,88345.3,1
295,10413899,Customer,566,France,Male,64,1,113532.43,2,0,1,168733.46,1
296,18646364,Customer,543,Germany,Female,62,10,88540.69,2,0,1,196028.53,1
297,12040555,Customer,512,Spain,Female,50,9,153576.26,1,0,1,44274.36,1
298,17164750,Customer,465,France,Male,38,2,0.0,2,0,1,21611.66,0
299,10485165,Customer,677,Germany,Male,19,9,58108.1,1,0,0,47419.03,1
300,18328071,Customer,510,France,Female,30,6,84060.45,2,0,0,175786.08,0
301,16383802,Customer,438,France,Female,19,0,8594.2,1,1,0,177097.51,0
302,19571103,Customer,818,Germany,Female,74,2,48395.91,2,0,1,64481.18,1
303,16896343,Customer,769,Germany,Male,60,4,83958.25,1,0,0,72673.52,1
304,15932146,Customer,490,Germany,Female,62,10,243030.33,1,0,0,136157.79,1
305,12412349,Customer,661,Germany,Male,48,3,131772.23,1,0,0,74935.09,0
306,12301744,Customer,523,Spain,Female,27,2,0.0,1,1,1,181773.93,0
307,18374411,Customer,550,Germany,Female,40,5,168400.09,1,0,0,162201.74,1
308,18809905,Customer,704,France,Male,39,5,0.0,1,1,0,77984.7,0
309,18077201,Customer,651,Spain,Female,64,3,138916.32,2,1,1,194734.41,1
310,15830575,Customer,705,France,Male,46,8,0.0,2,0,1,151536.88,0
311,15894431,Customer,462,France,Female,50,10,0.0,2,0,0,153886.95,1
312,16711645,Customer,716,France,Male,48,5,156529.46,1,1,1,192466.13,0
313,14304044,Customer,777,France,Female,31,8,189431.11,1,0,1,91827.23,0
314,16085298,Customer,523,Spain,Male,27,10,25813.35,1,0,0,17868.65,0
315,15759739,Customer,848,Spain,Female,35,9,120031.18,2,1,0,198282.21,0
316,13601051,Customer,423,Germany,Male,28,9,105475.05,2,0,0,187704.27,0
317,14490726,Customer,674,France,Male,56,1,28396.12,1,1,0,193571.53,0
318,12315581,Customer,636,France,Male,64,5,85321.95,2,0,1,100036.3,0
319,14852668,Customer,474,France,Female,20,3,0.0,2,1,0,41268.05,0
320,10982407,Customer,373,France,Male,19,1,162467.34,1,0,1,47204.56,0
321,19075742,Customer,381,Germany,Female,71,4,0.0,1,0,1,99919.29,0
322,12238785,Customer,603,Germany,Male,25,2,119074.9,2,1,0,138323.62,1
323,18563473,Customer,846,Germany,Female,48,5,183519.87,2,0,1,98377.36,1
324,10080468,Customer,462,France,Male,25,10,105561.94,1,0,0,84971.92,0
325,11284516,Customer,544,Spain,Male,60,7,235193.28,1,0,0,193063.52,1
326,11314789,Customer,365,Germany,Male,65,3,0.0,1,0,1,133065.7,1
327,12627741,Customer,790,Germany,Male,19,3,65056.81,2,0,0,87397.71,0
328,17531858,Customer,838,Germany,Male,39,4,33347.81,1,1,1,141069.84,0
329,15659412,Customer,846,France,Male,22,5,0.0,1,0,1,160433.99,0
330,15275981,Customer,561,France,Female,24,10,44343.38,2,0,0,79802.67,0
331,17035490,Customer,457,France,Female,37,6,185460.11,1,0,1,100266.41,1
332,13987459,Customer,373,Spain,Female,45,5,0.0,2,0,1,131955.22,0
333,15936276,Customer,639,France,Male,30,6,51799.91,2,0,0,131142.16,0
334,16501527,Customer,733,France,Female,19,8,0.0,1,0,1,43343.48,0
335,11298988,Customer,657,France,Male,49,3,0.0,1,1,1,104423.89,1
336,10421644,Customer,653,France,Female,43,9,49042.66,1,0,1,59233.28,0
337,12208726,Customer,692,Spain,Male,20,0,0.0,1,0,0,183582.47,1
338,10162352,Customer,468,Germany,Male,58,8,22718.42,1,1,1,104329.34,1
339,12108176,Customer,530,France,Male,59,6,173037.06,2,1,0,155652.79,1
340,13103123,Customer,788,France,Female,73,3,215315.33,2,0,0,18383.98,1
341,17335583,Customer,387,France,Male,30,9,237594.01,2,1,1,82505.84,0
342,17332017,Customer,735,France,Female,74,7,0.0,2,0,1,40170.44,0
343,11313896,Customer,582,France,Male,38,6,15483.9,2,0,1,84666.67,0
344,18373646,Customer,418,France,Female,62,1,232601.22,1,0,0,161057.58,1
345,12961321,Customer,431,France,Female,54,0,197398.14,1,0,1,186113.72,1
346,10768010,Customer,467,Germany,Male,40,8,193566.79,2,1,1,184087.25,1
347,17225380,Customer,658,Germany,Male,24,6,185655.43,1,0,0,32585.6,0
348,16301671,Customer,399,France,Female,34,9,0.0,2,0,1,67290.21,0
